rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,organization,selfMade,status,gender,birthDate,lastName,firstName,title,date,state,residenceStateRegion,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country
1516,2000,Real Estate,Bill Malhotra,73.0,Canada,Ottawa,Real estate,Real Estate,Canada,,True,U,M,9/8/1949 0:00,Malhotra,Bill,,06/05/2023,,,1950.0,9.0,8.0,116.76,1.9,"$1,736,425,629,520 ",68.9,100.9,81.9,12.8,24.5,36991981.0,56.130366,-106.346771
1516,2000,Finance & Investments,Alexander Mamut,63.0,Israel,Tel Aviv,Investments,Finance & Investments,Russia,,True,D,M,1/29/1960 0:00,Mamut,Alexander,,03/02/2023,,,1960.0,1.0,29.0,108.15,0.8,"$395,098,666,122 ",63.4,104.9,82.8,23.1,25.3,9053300.0,31.046051,34.851612
1516,2000,Telecom,Craig McCaw,73.0,United States,Hunts Point,Telecom,Telecom,United States,,False,D,M,8/11/1949 0:00,McCaw,Craig,,27/03/2023,Washington,West,1950.0,8.0,11.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1516,2000,Manufacturing,Cunhui Nan,59.0,China,Wenzhou,Power equipment,Manufacturing,China,,True,D,M,7/9/1963 0:00,Nan,Cunhui,,09/05/2023,,,1964.0,7.0,9.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1516,2000,Service,Tengyun Nie & family,47.0,China,Shanghai,Logistics,Service,China,,True,D,M,1/24/1976 0:00,Nie,Tengyun,,04/09/2023,,,1976.0,1.0,24.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1516,2000,Finance & Investments,Oei Hong Leong,75.0,Singapore,Singapore,Investments,Finance & Investments,Singapore,,False,U,M,3/21/1948 0:00,Oei,Hong Leong,,12/10/2023,,,1948.0,3.0,21.0,114.41,0.6,"$372,062,527,489 ",84.8,100.6,83.1,13.1,21.0,5703569.0,1.352083,103.819836
1516,2000,Metals & Mining,Clive Palmer,69.0,Australia,Brisbane,Mining,Metals & Mining,Australia,,True,D,M,3/26/1954 0:00,Palmer,Clive,,16/10/2023,,,1954.0,3.0,26.0,119.8,1.6,"$1,392,680,589,329 ",113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136
1516,2000,Technology,Matthew Prince,48.0,United States,Park City,Cybersecurity,Technology,United States,,True,D,M,1/1/1975 0:00,Prince,Matthew,,01/06/2023,Utah,West,1975.0,1.0,1.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1516,2000,Service,Linda Pritzker,69.0,United States,Missoula,"Hotels, investments",Service,United States,,False,E,F,9/14/1953 0:00,Pritzker,Linda,,17/03/2023,Montana,West,1954.0,9.0,14.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1516,2000,Construction & Engineering,P.V. Krishna Reddy,53.0,India,Hyderabad,Infrastructure,Construction & Engineering,India,,True,U,M,6/30/1969 0:00,Reddy,P.V. Krishna,,30/06/2023,,,1970.0,6.0,30.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
1516,2000,Metals & Mining,Bianca Rinehart,46.0,Australia,Brisbane,Mining,Metals & Mining,Australia,,False,D,F,3/19/1977 0:00,Rinehart,Bianca,,04/01/2023,,,1977.0,3.0,19.0,119.8,1.6,"$1,392,680,589,329 ",113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136
1516,2000,Metals & Mining,Ginia Rinehart,36.0,Australia,Sydney,Mining,Metals & Mining,Australia,,False,D,F,9/6/1986 0:00,Rinehart,Ginia,,05/02/2023,,,1987.0,9.0,6.0,119.8,1.6,"$1,392,680,589,329 ",113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136
1516,2000,Finance & Investments,T. Denny Sanford,87.0,United States,Sioux Falls,"Banking, credit cards",Finance & Investments,United States,,True,D,M,12/23/1935 0:00,Sanford,T. Denny,,04/06/2023,South Dakota,Midwest,1936.0,12.0,23.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1516,2000,Manufacturing,Bhadresh Shah,71.0,India,Ahmedabad,Engineering,Manufacturing,India,,True,U,M,10/7/1951 0:00,Shah,Bhadresh,,14/08/2023,,,1952.0,10.0,7.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
1516,2000,Media & Entertainment,Zygmunt Solorz-Zak,66.0,Poland,Warsaw,TV broadcasting,Media & Entertainment,Poland,,True,D,M,8/4/1956 0:00,Solorz-Zak,Zygmunt,,26/07/2023,,,1957.0,8.0,4.0,114.11,2.2,"$592,164,400,688 ",67.8,100.0,77.6,17.4,40.8,37970874.0,51.919438,19.145136
1516,2000,Manufacturing,Michal Strnad,30.0,,,Defense Contracting,Manufacturing,Czech Republic,,False,N,M,8/4/1992 0:00,Strnad ,Michal,,03/06/2023,,,1993.0,8.0,4.0,,,,,,,,,,,
1516,2000,Fashion & Retail,Sylvia Stroeher,67.0,Germany,Darmstadt,Cosmetics,Fashion & Retail,Germany,,False,E,F,5/30/1955 0:00,Stroeher,Sylvia,,22/09/2023,,,1956.0,5.0,30.0,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
1516,2000,Technology,Otto Toto Sugiri,69.0,Indonesia,Jakarta,Data centers,Technology,Indonesia,,True,D,M,9/23/1953 0:00,Sugiri,Otto Toto,,04/04/2023,,,1954.0,9.0,23.0,151.18,3.0,"$1,119,190,780,753 ",36.3,106.4,71.5,10.2,30.1,270203917.0,-0.789275,113.921327
1516,2000,Sports,Larry Tanenbaum,77.0,Canada,Toronto,Sports,Sports,Canada,,True,N,M,7/1/1945 0:00,Tanenbaum,Larry,,29/08/2023,,,1946.0,7.0,1.0,116.76,1.9,"$1,736,425,629,520 ",68.9,100.9,81.9,12.8,24.5,36991981.0,56.130366,-106.346771
1516,2000,Finance & Investments,Wichai Thongtang,76.0,Thailand,Bangkok,Investments,Finance & Investments,Thailand,,True,E,M,1/1/1947 0:00,Thongtang,Wichai,,24/01/2023,,,1947.0,1.0,1.0,113.27,0.7,"$543,649,976,166 ",49.3,99.8,76.9,14.9,29.5,69625582.0,15.870032,100.992541
1516,2000,Finance & Investments,Ion Tiriac,83.0,Romania,Bucharest,"Banking, insurance",Finance & Investments,Romania,,True,U,M,5/9/1939 0:00,Tiriac,Ion,,04/06/2023,,,1940.0,5.0,9.0,123.78,3.8,"$250,077,444,017 ",49.4,85.2,75.4,14.6,20.0,19356544.0,45.943161,24.96676
1516,2000,Metals & Mining,Hope Welker,37.0,United States,New York,Mining,Metals & Mining,Australia,,False,D,F,8/13/1985 0:00,Welker,Hope,,31/05/2023,New York,Northeast,1986.0,8.0,13.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1516,2000,Manufacturing,William Young,82.0,United States,Ypsilanti,Plastics,Manufacturing,United States,,True,D,M,1/1/1941 0:00,Young,William,,02/03/2023,Michigan,Midwest,1941.0,1.0,1.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1516,2000,Fashion & Retail,Ales Zavoral,46.0,,,E-commerce,Fashion & Retail,Czech Republic,,True,N,M,10/24/1976 0:00,Zavoral,Ales,,12/08/2023,,,1977.0,10.0,24.0,,,,,,,,,,,
1516,2000,Technology,Zhang Fan,57.0,China,Shenzhen,Touch screens,Technology,China,,True,D,M,12/29/1965 0:00,Zhang,Fan,,13/05/2023,,,1966.0,12.0,29.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1516,2000,Technology,Shilong Zhang & family,57.0,China,Beijing,Semiconductor,Technology,China,,True,D,M,1/1/1966 0:00,Zhang,Shilong,,19/08/2023,,,1966.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1516,2000,Manufacturing,Zhang Wanzhen,73.0,China,Chaozhou,Electronics components,Manufacturing,China,,True,D,M,12/1/1949 0:00,Zhang,Wanzhen,,13/08/2023,,,1950.0,12.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1516,2000,Technology,Hongfei Zhao,48.0,China,Beijing,Software,Technology,China,,True,D,M,6/1/1974 0:00,Zhao,Hongfei,,24/07/2023,,,1975.0,6.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1516,2000,Energy,Zhou Jian,46.0,China,Shenzhen,Solar energy equipment,Energy,China,,True,D,M,7/1/1976 0:00,Zhou,Jian,,20/02/2023,,,1977.0,7.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1516,2000,Healthcare,Zhu Yiwen & family,59.0,China,Shanghai,Healthcare,Healthcare,China,,True,U,M,1/1/1964 0:00,Zhu,Yiwen,,17/05/2023,,,1964.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1575,1900,Diversified,Roberto Angelini Rossi,74.0,Chile,Santiago,"Forestry, mining",Diversified,Chile,,False,U,M,7/30/1948 0:00,Angelini Rossi,Roberto,,13/06/2023,,,1949.0,7.0,30.0,131.91,2.6,"$282,318,159,745 ",88.5,101.4,80.0,18.2,34.0,18952038.0,-35.675147,-71.542969
1575,1900,Energy,Mika Anttonen,56.0,Finland,Helsinki,Oil & gas,Energy,Finland,,True,U,M,12/18/1966 0:00,Anttonen,Mika,,30/01/2023,,,1967.0,12.0,18.0,112.33,1.0,"$268,761,201,365 ",88.2,100.2,81.7,20.8,36.6,5520314.0,61.92411,25.748151
1575,1900,Sports,David Blitzer,53.0,United States,New York,Sports,Sports,United States,,True,N,M,9/7/1969 0:00,Blitzer,David,,04/08/2023,New York,Northeast,1970.0,9.0,7.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1575,1900,Finance & Investments,Julio Bozano,87.0,Brazil,Rio de Janeiro,Banking,Finance & Investments,Brazil,,True,D,M,2/1/1936 0:00,Bozano,Julio,,08/09/2023,,,1936.0,2.0,1.0,167.4,3.7,"$1,839,758,040,766 ",51.3,115.4,75.7,14.2,65.1,212559417.0,-14.235004,-51.92528
1575,1900,Energy,Nikolai Buinov,55.0,Russia,Irkutsk,"Oil, gas",Energy,Russia,,True,U,M,7/9/1967 0:00,Buinov,Nikolai,,19/02/2023,,,1968.0,7.0,9.0,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
1575,1900,Fashion & Retail,Nicola Bulgari,82.0,Italy,Rome,Luxury goods,Fashion & Retail,Italy,,False,E,M,1/16/1941 0:00,Bulgari,Nicola,,26/07/2023,,,1941.0,1.0,16.0,110.62,0.6,"$2,001,244,392,042 ",61.9,101.9,82.9,24.3,59.1,60297396.0,41.87194,12.56738
1575,1900,Fashion & Retail,"Howard Butt, III. & family",71.0,United States,San Antonio,Supermarkets,Fashion & Retail,United States,,False,N,M,4/4/1952 0:00,Butt,Howard,,13/09/2023,Texas,South,1952.0,4.0,4.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1575,1900,Fashion & Retail,Stephen Butt & family,67.0,,,Supermarkets,Fashion & Retail,United States,,False,N,M,5/24/1955 0:00,Butt,Stephen,,30/05/2023,,,1956.0,5.0,24.0,,,,,,,,,,,
1575,1900,Fashion & Retail,Jianxing Che,56.0,China,Shanghai,Furniture retailing,Fashion & Retail,China,,True,D,M,7/18/1966 0:00,Che,Jianxing,,09/07/2023,,,1967.0,7.0,18.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1575,1900,Manufacturing,Huxiong Chen,52.0,China,Shanghai,Stationery,Manufacturing,China,,True,D,M,7/1/1970 0:00,Chen,Huxiong,,01/02/2023,,,1971.0,7.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1575,1900,Energy,Chen Qiongxiang,,China,Ningde,Batteries,Energy,China,,True,D,F,,Chen,Qiongxiang,,22/01/2023,,,,,,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1575,1900,Technology,Chen Zhisong,57.0,China,Xiamen,Communication equipment,Technology,China,,True,D,M,1/7/1966 0:00,Chen,Zhisong,,03/03/2023,,,1966.0,1.0,7.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1575,1900,Diversified,Manas Chiaravanond,,Thailand,Bangkok,Diversified,Diversified,Thailand,,False,U,M,,Chiaravanond,Manas,,15/04/2023,,,,,,113.27,0.7,"$543,649,976,166 ",49.3,99.8,76.9,14.9,29.5,69625582.0,15.870032,100.992541
1575,1900,Diversified,Prathip Chiravanond,74.0,Thailand,Bangkok,Diversified,Diversified,Thailand,,False,R,M,10/21/1948 0:00,Chiravanond,Prathip,,05/01/2023,,,1949.0,10.0,21.0,113.27,0.7,"$543,649,976,166 ",49.3,99.8,76.9,14.9,29.5,69625582.0,15.870032,100.992541
1575,1900,Food & Beverage,Alexandra Daitch,60.0,United States,Old Lyme,Cargill,Food & Beverage,United States,,False,D,F,1/1/1963 0:00,Daitch,Alexandra,,07/02/2023,Connecticut,Northeast,1963.0,1.0,1.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1575,1900,Food & Beverage,Sol Daurella,57.0,Spain,Madrid,Coca-Cola bottler,Food & Beverage,Spain,,False,U,F,1/1/1966 0:00,Daurella,Sol,,17/03/2023,,,1966.0,1.0,1.0,110.96,0.7,"$1,394,116,310,769 ",88.9,102.7,83.3,14.2,47.0,47076781.0,40.463667,-3.74922
1575,1900,Sports,Mark Davis,67.0,United States,Henderson,Las Vegas Raiders,Sports,United States,,False,N,M,5/18/1955 0:00,Davis,Mark,,02/06/2023,Nevada,West,1956.0,5.0,18.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1575,1900,Finance & Investments,James Dinan,63.0,United States,North Salem,Hedge funds,Finance & Investments,United States,York Capital Management,True,E,M,5/22/1959 0:00,Dinan,James,Founder,21/02/2023,New York,Northeast,1960.0,5.0,22.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1575,1900,Healthcare,Dong Fan,53.0,China,Zhuhai,Medical devices,Healthcare,China,,True,D,M,,Dong,Fan,,05/03/2023,,,,,,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1575,1900,Automotive,Fritz Draexlmaier,,Germany,Landshut,Auto parts,Automotive,Germany,,False,U,M,,Draexlmaier,Fritz,,17/05/2023,,,,,,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
1575,1900,Diversified,Bulent Eczacibasi,73.0,Turkey,Istanbul,"Pharmaceuticals, diversified",Diversified,Turkey,,False,U,M,12/25/1949 0:00,Eczacibasi,Bulent,,22/01/2023,,,1950.0,12.0,25.0,234.44,15.2,"$754,411,708,203 ",23.9,93.2,77.4,17.9,42.3,83429615.0,38.963745,35.243322
1575,1900,Diversified,Faruk Eczacibasi,68.0,Turkey,Istanbul,"Pharmaceuticals, diversified",Diversified,Turkey,,False,U,M,6/15/1954 0:00,Eczacibasi,Faruk,,26/02/2023,,,1955.0,6.0,15.0,234.44,15.2,"$754,411,708,203 ",23.9,93.2,77.4,17.9,42.3,83429615.0,38.963745,35.243322
1575,1900,Diversified,Eduardo Eurnekian,90.0,Argentina,Buenos Aires,"Airports, investments",Diversified,Argentina,,True,U,M,12/4/1932 0:00,Eurnekian,Eduardo,,12/06/2023,,,1933.0,12.0,4.0,232.75,53.5,"$449,663,446,954 ",90.0,109.7,76.5,10.1,106.3,44938712.0,-38.416097,-63.616672
1575,1900,Real Estate,David Fong,65.0,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,,False,N,M,5/29/1957 0:00,Fong,David,,24/01/2023,,,1958.0,5.0,29.0,,,,,,,,,,,
1575,1900,Fashion & Retail,Guo Zhenyu & family,59.0,China,Kunming,Cosmetics,Fashion & Retail,Canada,,True,D,M,11/1/1963 0:00,Guo,Zhenyu,,23/06/2023,,,1964.0,11.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1575,1900,Manufacturing,Surjit Kumar Gupta,81.0,India,Delhi,Electrical equipment,Manufacturing,India,,False,U,M,1/13/1942 0:00,Gupta,Surjit Kumar,,14/10/2023,,,1942.0,1.0,13.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
1575,1900,Diversified,Caroline Hagen Kjos,39.0,Switzerland,Wollerau,Conglomerate,Diversified,Norway,,False,D,F,1/1/1984 0:00,Hagen Kjos,Caroline,,19/08/2023,,,1984.0,1.0,1.0,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
1575,1900,Finance & Investments,Roberto Hernandez Ramirez,81.0,Mexico,Mexico City,"Banking, investments",Finance & Investments,Mexico,,True,E,M,3/24/1942 0:00,Hernandez Ramirez,Roberto,,13/08/2023,,,1942.0,3.0,24.0,141.54,3.6,"$1,258,286,717,125 ",40.2,105.8,75.0,13.1,55.1,126014024.0,23.634501,-102.552784
1575,1900,Technology,Reid Hoffman,55.0,United States,Palo Alto,LinkedIn,Technology,United States,Greylock,True,D,M,8/5/1967 0:00,Hoffman,Reid,Partner,09/06/2023,California,West,1968.0,8.0,5.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1575,1900,Manufacturing,Hu Rongda & family,64.0,China,Jinhua,Chemicals,Manufacturing,China,,True,U,M,1/1/1959 0:00,Hu,Rongda,,06/07/2023,,,1959.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1575,1900,Real Estate,"B. Wayne Hughes, Jr.",63.0,United States,Jackson,Storage facilities,Real Estate,United States,,False,D,M,5/27/1959 0:00,Hughes,B. Wayne,,31/07/2023,Wyoming,South,1960.0,5.0,27.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1575,1900,Real Estate,Hui Wing Mau,72.0,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,,True,D,M,7/1/1950 0:00,Hui,Wing Mau,,16/06/2023,,,1951.0,7.0,1.0,,,,,,,,,,,
1575,1900,Finance & Investments,Scott Kapnick,64.0,United States,Naples,Private equity,Finance & Investments,United States,,True,U,M,2/9/1959 0:00,Kapnick,Scott,Investor,09/09/2023,Florida,South,1959.0,2.0,9.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1575,1900,Finance & Investments,Richard Kayne,77.0,United States,Santa Monica,Investments,Finance & Investments,United States,,True,U,M,1/1/1946 0:00,Kayne,Richard,,19/06/2023,California,West,1946.0,1.0,1.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1575,1900,Finance & Investments,Dominika Kulczyk,45.0,United Kingdom,London,Diversified,Finance & Investments,Poland,,False,U,F,7/30/1977 0:00,Kulczyk,Dominika,,13/04/2023,,,1978.0,7.0,30.0,119.62,1.7,"$2,827,113,184,696 ",60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
1575,1900,Finance & Investments,Edward Lampert,60.0,United States,Miami Beach,Sears,Finance & Investments,United States,ESL Investments Inc.,True,U,M,7/19/1962 0:00,Lampert,Edward,Founder,09/09/2023,Florida,South,1963.0,7.0,19.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1575,1900,Diversified,Somsri Lamsam,,Thailand,Bangkok,Diversified,Diversified,Thailand,,False,N,M,,Lamsam,Somsri,,25/05/2023,,,,,,113.27,0.7,"$543,649,976,166 ",49.3,99.8,76.9,14.9,29.5,69625582.0,15.870032,100.992541
1575,1900,Food & Beverage,James Leprino,85.0,United States,Indian Hills,Cheese,Food & Beverage,United States,Leprino Foods,False,D,M,11/22/1937 0:00,Leprino,James,Chairman,14/08/2023,Colorado,West,1938.0,11.0,22.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1575,1900,Real Estate,David Lichtenstein,61.0,United States,Monsey,Real estate,Real Estate,United States,,True,E,M,11/21/1961 0:00,Lichtenstein,David,,23/04/2023,New York,Northeast,1962.0,11.0,21.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1575,1900,Real Estate,Lin Dingqiang & family,56.0,China,Beijing,Real estate,Real Estate,Hong Kong,,True,E,M,10/1/1966 0:00,Lin,Dingqiang,,07/04/2023,,,1967.0,10.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1575,1900,Food & Beverage,Sarah MacMillan,69.0,United States,Los Angeles,Cargill,Food & Beverage,United States,,False,D,F,1/1/1954 0:00,MacMillan,Sarah,,09/08/2023,California,West,1954.0,1.0,1.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1575,1900,Telecom,Strive Masiyiwa,62.0,United Kingdom,London,Telecom,Telecom,Zimbabwe,,True,D,M,1/29/1961 0:00,Masiyiwa,Strive,,19/02/2023,,,1961.0,1.0,29.0,119.62,1.7,"$2,827,113,184,696 ",60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
1575,1900,Fashion & Retail,Robert Miller,89.0,Hong Kong,Hong Kong,Retail,Fashion & Retail,United Kingdom,,True,D,M,5/23/1933 0:00,Miller,Robert,,10/06/2023,,,1934.0,5.0,23.0,,,,,,,,,,,
1575,1900,Technology,Simon Nixon,55.0,United Kingdom,"St. Brelade, Jersey",Price comparison website,Technology,United Kingdom,,True,U,M,8/1/1967 0:00,Nixon,Simon,,08/04/2023,,,1968.0,8.0,1.0,119.62,1.7,"$2,827,113,184,696 ",60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
1575,1900,Food & Beverage,Kentaro Ogawa,74.0,Japan,Tokyo,Restaurants,Food & Beverage,Japan,,True,U,M,7/1/1948 0:00,Ogawa,Kentaro,,14/02/2023,,,1949.0,7.0,1.0,105.48,0.5,"$5,081,769,542,380 ",63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924
1575,1900,Manufacturing,Ajay Parekh,65.0,India,Mumbai,Adhesives,Manufacturing,India,,False,D,M,6/23/1957 0:00,Parekh,Ajay,,14/02/2023,,,1958.0,6.0,23.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
1575,1900,Manufacturing,Narendrakumar Parekh,84.0,India,Mumbai,Adhesives,Manufacturing,India,,False,D,M,4/17/1938 0:00,Parekh,Narendrakumar,,13/02/2023,,,1939.0,4.0,17.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
1575,1900,Finance & Investments,Jennifer Pritzker,72.0,United States,Chicago,"Hotels, investments",Finance & Investments,United States,Tawani Enterprises,False,D,F,8/13/1950 0:00,Pritzker,Jennifer,CEO,20/05/2023,Illinois,Midwest,1951.0,8.0,13.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1575,1900,Fashion & Retail,G. Rajendran,80.0,India,Chennai,Jewellery,Fashion & Retail,India,,True,U,M,10/5/1942 0:00,Rajendran,G.,,25/05/2023,,,1943.0,10.0,5.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
1575,1900,Manufacturing,Ren Jianhua,66.0,China,Hangzhou,Kitchen appliances,Manufacturing,China,,True,D,M,8/1/1956 0:00,Ren,Jianhua,,11/08/2023,,,1957.0,8.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1575,1900,Finance & Investments,Larry Robbins,53.0,United States,Alpine,Hedge funds,Finance & Investments,United States,Glenview Capital Management,True,E,M,10/21/1969 0:00,Robbins,Larry,Investor,02/06/2023,New Jersey,Northeast,1970.0,10.0,21.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1575,1900,Construction & Engineering,Dwight Schar,81.0,United States,Palm Beach,"Homebuilding, NFL team",Construction & Engineering,United States,,True,E,M,2/8/1942 0:00,Schar,Dwight,,12/10/2023,Florida,South,1942.0,2.0,8.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1575,1900,Energy,Shao Jianxiong,,China,Hangzhou,Photovoltaics,Energy,China,,True,U,M,,Shao,Jianxiong,,24/04/2023,,,,,,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1575,1900,Manufacturing,Qinxiang Shao,68.0,China,Hangzhou,Diversified,Manufacturing,China,,True,U,M,9/1/1954 0:00,Shao,Qinxiang,,31/05/2023,,,1955.0,9.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1575,1900,Technology,Hua Shen,60.0,China,Jiaxing,Semiconductors,Technology,United States,,True,D,M,1/1/1963 0:00,Shen,Hua,,24/09/2023,,,1963.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1575,1900,Manufacturing,Shi Wen-long,95.0,Taiwan,Tainan,Plastics,Manufacturing,Taiwan,,True,D,M,2/1/1928 0:00,Shi,Wen-long,,14/01/2023,,,1928.0,2.0,1.0,,,,,,,,,,,
